人物姓名,人物网址,所处时代,本名,民族族群,出生地,逝世日期,主要成就,官职,字,爵位,别名,出生日期,谥号,籍贯,字号,主要作品,中文名,民族,职业,父亲,国籍,性别,陵墓,去世时间,典故,年号,别称,在位时间,封爵,职位,出生时间,庙号,儿子,追赠,兄弟,身份,追封,地位,信仰,势力,官爵,相关事件,母亲,子,代表作品,子嗣,外文名,夫君,父,记载,官位,葬处,结局,家世信息,封号,丈夫,子女,配偶,祖籍,祖父,朝代,容貌,家世,号,陵寝,特征,人物关系,职务,兄长,官至,嫡庶身份,尊称,持麾经历,终年,武器,家世归属,书法成就,逝世地,后世追谥,加封,阵营,所处朝代,哥哥,相关典故,去世地,追尊,宋代加封,所处时期,样貌,藏处,主效势力,最高任职,宗教信仰,妻子,主公,史料记载,婚姻状况,姐妹,出处,史书记载,封侯,外号,食邑,拼音,出生地点,生卒年,相关历史人物,曾祖,评价,孙,父母,族弟,叔祖父,身世,结果,死因,兄弟姐妹,特点,好友,国家,相关人物,时期,气质,年代,登场作品,主要事迹,曾祖父,简介
曹操,https://baike.baidu.com/item/%E6%9B%B9%E6%93%8D/6772,"[""东汉末年""]","[""曹操""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""220年3月15日""]","[""实行屯田制；统一中原、北方；奠定曹魏政权的基础""]","[""司空-大将军-丞相""]","[""孟德""]","[""魏王""]","[""曹吉利"", ""曹孟德""]","[""155年""]","[""武""]",,,"[""《观沧海》"", ""《龟虽寿》"", ""《让县自明本志令》"", ""《蒿里行》"", ""《孟德新书》""]",,,,,,,"[""高陵""]",,,,,,,,,"[""太祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹丕,https://baike.baidu.com/item/%E6%9B%B9%E4%B8%95/5980,"[""三国""]","[""曹丕""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""226年6月29日""]","[""建立曹魏；大破羌胡，复通西域；繁荣建安文学，开文学批评风气""]",,"[""子桓""]",,,"[""187年""]","[""文皇帝""]",,,"[""《典论》"", ""《燕歌行》"", ""《寡妇诗》"", ""《答临淄侯植诏》""]",,,,,,"[""男""]","[""首阳陵""]",,,"[""黄初（220年）""]",,"[""220年—226年""]",,,,"[""高祖（一作世祖）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""嫡子""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹芳,https://baike.baidu.com/item/%E6%9B%B9%E8%8A%B3/16109,"[""三国""]","[""曹芳""]","[""汉族""]","[""任城国任城县（今山东省任城区）""]","[""274年""]",,,"[""兰卿""]",,"[""邵陵厉公""]","[""232年""]","[""厉""]","[""沛国谯县（今安徽省亳州市）""]",,,,,,,,"[""男""]",,,,"[""正始（240年）、嘉平（249年）""]",,"[""239年1月22日－254年10月17日""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹髦,https://baike.baidu.com/item/%E6%9B%B9%E9%AB%A6/1818333,"[""三国""]","[""曹髦""]","[""汉族""]","[""东海国郯县（今山东省郯城县）""]","[""260年6月2日""]",,,"[""彦士""]",,"[""高贵乡公""]","[""241年11月15日""]",,"[""沛国谯县（今安徽省亳州市）""]",,"[""《祖二疏图》"", ""《盗跖图》"", ""《新丰放鸡犬图》"", ""《黄河流势》""]",,,,,,"[""男""]",,,,"[""正元（254年）、甘露（256年）""]",,"[""254年11月1日－260年6月2日""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹奂,https://baike.baidu.com/item/%E6%9B%B9%E5%A5%82/763707,"[""三国""]","[""曹璜""]","[""汉族""]","[""燕国蓟县（今天津市蓟州区）""]","[""302年""]",,,"[""景明""]",,"[""曹奂"", ""魏元帝"", ""常道乡公""]","[""244年""]","[""元皇帝""]","[""沛国谯县（今安徽省亳州市）""]",,,,,,,,"[""男""]",,,,"[""景元（260~264年）、咸熙（264~266年）""]",,"[""260年6月27日－266年2月4日""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹植,https://baike.baidu.com/item/%E6%9B%B9%E6%A4%8D/17364,"[""汉末三国""]","[""曹植""]","[""汉族""]",,"[""232年12月27日""]","[""诗歌史第一位大力写作五言诗的人；完成了乐府民歌到文人诗的转变""]",,"[""子建""]","[""临淄侯→安乡侯→陈王""]","[""陈思王"", ""陈王""]","[""192年""]","[""思""]","[""沛国谯县""]",,"[""《七步诗》"", ""《白马篇》"", ""《洛神赋》"", ""《七哀诗》"", ""《飞龙篇》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荀彧,https://baike.baidu.com/item/%E8%8D%80%E5%BD%A7/17355,"[""东汉""]","[""荀彧""]","[""汉族""]","[""颍川颍阴""]","[""212年""]","[""为曹操规划军事战略方针""]","[""侍中、光禄大夫""]","[""文若""]","[""万岁亭侯""]","[""荀令君""]","[""163年""]","[""敬""]",,,"[""迎驾都许议、报曹公书""]",,,,,,,,,"[""荀令留香""]",,,,,,,,,"[""太尉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""伟美，有仪容""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荀攸,https://baike.baidu.com/item/%E8%8D%80%E6%94%B8/18122,"[""东汉""]","[""荀攸""]","[""汉族""]","[""颍川颍阴（今河南许昌）""]","[""214年""]","[""设奇策十二计，辅佐曹操统一北方""]","[""尚书令""]","[""公达""]","[""陵树亭侯""]","[""荀军师""]","[""157年""]","[""敬""]",,,"[""《魏官仪》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贾诩,https://baike.baidu.com/item/%E8%B4%BE%E8%AF%A9/8870,"[""汉末三国""]","[""贾诩""]","[""汉族""]","[""武威姑臧（今甘肃武威）""]","[""223年8月11日""]","[""奇谋百出，算无遗策；魏朝开国元勋""]","[""太尉""]","[""文和""]","[""寿乡侯""]","[""贾文和""]","[""147年""]","[""肃""]",,,"[""《钞孙子兵法》"", ""《吴起兵法注》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郭嘉,https://baike.baidu.com/item/%E9%83%AD%E5%98%89/8724,"[""东汉""]","[""郭嘉""]","[""汉族""]","[""颍川阳翟（今河南禹州）""]","[""207年""]","[""助曹操平吕布、定河北，灭乌桓，定辽东""]","[""司空军师祭酒""]","[""奉孝""]","[""洧阳亭侯""]",,"[""170年""]","[""贞侯""]",,,"[""《十胜十败论》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""颍川郭氏""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
