著作姓名,著作网址,作品名称,作者,创作年代,作品出处,文学体裁,作品体裁,作品别名,书名,时间,类型,流传,来源,外文名,中文名,类别,年代,收藏地,临摹刻本,文物现状,物原属,别名,作品题材,成书年代,地区,孤以不德,政教凶勃,社稷倾覆,属性,地点,朝代
观沧海,https://baike.baidu.com/item/%E8%A7%82%E6%B2%A7%E6%B5%B7/1907220,"[""观沧海""]","[""曹操""]","[""东汉末年""]","[""《曹操集》""]","[""四言诗""]",,,,,,,,,,,,,,,,,,,,,,,,,
龟虽寿,https://baike.baidu.com/item/%E9%BE%9F%E8%99%BD%E5%AF%BF/2356846,"[""龟虽寿""]","[""曹操""]","[""东汉""]","[""《乐府诗集》""]",,"[""乐府诗""]","[""神龟虽寿""]",,,,,,,,,,,,,,,,,,,,,,,
述志令,https://baike.baidu.com/item/%E8%AE%A9%E5%8E%BF%E8%87%AA%E6%98%8E%E6%9C%AC%E5%BF%97%E4%BB%A4/890268,"[""述志令""]","[""曹操""]","[""汉末三国""]","[""《三国志·魏书·武帝纪》""]","[""散文""]",,"[""让县自明本志令""]",,,,,,,,,,,,,,,,,,,,,,,
蒿里行,https://baike.baidu.com/item/%E8%92%BF%E9%87%8C%E8%A1%8C/2356432,"[""蒿里行""]","[""曹操""]","[""东汉""]","[""《曹操集》""]","[""五言古诗""]",,,,,,,,,,,,,,,,,,,,,,,,,
孟德新书,https://baike.baidu.com/item/%E5%AD%9F%E5%BE%B7%E6%96%B0%E4%B9%A6/1056935,,"[""曹操""]",,,,,,"[""孟德新书""]","[""三国时期""]","[""兵法""]","[""失传""]","[""三国演义""]",,,,,,,,,,,,,,,,,,
典论,https://baike.baidu.com/item/%E5%85%B8%E8%AE%BA/3554176,"[""《典论》""]","[""曹丕""]","[""三国时代""]",,"[""论文""]",,,,,,,,"[""《典论·论文》""]",,,,,,,,,,,,,,,,,
燕歌行二首,https://baike.baidu.com/item/%E7%87%95%E6%AD%8C%E8%A1%8C/1113,"[""燕歌行二首""]","[""曹丕""]","[""三国·魏""]","[""《魏文帝集》""]",,"[""七言古诗""]",,,,,,,,,,,,,,,,,,,,,,,,
寡妇诗,https://baike.baidu.com/item/%E5%AF%A1%E5%A6%87%E8%AF%97/10951055,"[""寡妇诗""]","[""曹丕""]","[""魏晋时期""]","[""《曹丕集》""]",,"[""乐府诗""]",,,,,,,,,,,,,,,,,,,,,,,,
贺捷表,https://baike.baidu.com/item/%E8%B4%BA%E6%8D%B7%E8%A1%A8/9938036,"[""贺捷表""]",,"[""东汉建安二十四年""]","[""蜀""]",,,"[""戎路表""]",,,,,,,,,,,,,,,,,,,,,,,
宣示表,https://baike.baidu.com/item/%E5%AE%A3%E7%A4%BA%E8%A1%A8/9938021,,"[""钟繇""]",,,,,,,,,,,,"[""宣示表""]","[""小楷法帖""]","[""三国""]","[""故宫博物院""]","[""《淳化阁帖》"", ""《大观帖》""]",,,,,,,,,,,,
